Date,GDP
2015-12-09,18377584.63043478
2015-12-10,18378179.826086957
2015-12-11,18378775.02173913
2015-12-12,18379370.217391305
2015-12-13,18379965.413043477
2015-12-14,18380560.608695652
2015-12-15,18381155.804347824
2015-12-16,18381751.0
2015-12-17,18382346.195652176
2015-12-18,18382941.391304348
2015-12-19,18383536.586956523
2015-12-20,18384131.782608695
2015-12-21,18384726.97826087
2015-12-22,18385322.173913043
2015-12-23,18385917.36956522
2015-12-24,18386512.56521739
2015-12-25,18387107.760869566
2015-12-26,18387702.95652174
2015-12-27,18388298.152173914
2015-12-28,18388893.347826086
2015-12-29,18389488.54347826
2015-12-30,18390083.739130434
2015-12-31,18390678.93478261
2016-01-01,18391274.13043478
2016-01-02,18391869.326086957
2016-01-03,18392464.52173913
2016-01-04,18393059.717391305
2016-01-05,18393654.913043477
2016-01-06,18394250.108695652
2016-01-07,18394845.304347824
2016-01-08,18395440.5
2016-01-09,18396035.695652176
2016-01-10,18396630.891304348
2016-01-11,18397226.086956523
2016-01-12,18397821.282608695
2016-01-13,18398416.47826087
2016-01-14,18399011.673913043
2016-01-15,18399606.86956522
2016-01-16,18400202.06521739
2016-01-17,18400797.260869566
2016-01-18,18401392.45652174
2016-01-19,18401987.652173914
2016-01-20,18402582.847826086
2016-01-21,18403178.04347826
2016-01-22,18403773.239130434
2016-01-23,18404368.43478261
2016-01-24,18404963.63043478
2016-01-25,18405558.826086957
2016-01-26,18406154.02173913
2016-01-27,18406749.217391305
2016-01-28,18407344.413043477
2016-01-29,18407939.608695652
2016-01-30,18408534.804347824
2016-01-31,18409130.0
2016-02-01,18411703.355555557
2016-02-02,18414276.71111111
2016-02-03,18416850.066666666
2016-02-04,18419423.422222223
2016-02-05,18421996.777777776
2016-02-06,18424570.133333333
2016-02-07,18427143.48888889
2016-02-08,18429716.844444446
2016-02-09,18432290.2
2016-02-10,18434863.555555556
2016-02-11,18437436.911111113
2016-02-12,18440010.266666666
2016-02-13,18442583.622222222
2016-02-14,18445156.97777778
2016-02-15,18447730.333333332
2016-02-16,18450303.68888889
2016-02-17,18452877.044444446
2016-02-18,18455450.4
2016-02-19,18458023.755555555
2016-02-20,18460597.111111112
2016-02-21,18463170.466666665
2016-02-22,18465743.82222222
2016-02-23,18468317.17777778
2016-02-24,18470890.533333335
2016-02-25,18473463.888888888
2016-02-26,18476037.244444445
2016-02-27,18478610.6
2016-02-28,18481183.955555554
2016-02-29,18483757.31111111
2016-03-01,18486330.666666668
2016-03-02,18488904.02222222
2016-03-03,18491477.377777778
2016-03-04,18494050.733333334
2016-03-05,18496624.088888887
2016-03-06,18499197.444444444
2016-03-07,18501770.8
2016-03-08,18504344.155555554
2016-03-09,18506917.51111111
2016-03-10,18509490.866666667
2016-03-11,18512064.222222224
2016-03-12,18514637.577777777
2016-03-13,18517210.933333334
2016-03-14,18519784.28888889
2016-03-15,18522357.644444443
2016-03-16,18524931.0
2016-03-17,18527504.355555557
2016-03-18,18530077.71111111
2016-03-19,18532651.066666666
2016-03-20,18535224.422222223
2016-03-21,18537797.777777776
2016-03-22,18540371.133333333
2016-03-23,18542944.48888889
2016-03-24,18545517.844444446
2016-03-25,18548091.2
2016-03-26,18550664.555555556
2016-03-27,18553237.911111113
2016-03-28,18555811.266666666
2016-03-29,18558384.622222222
2016-03-30,18560957.97777778
2016-03-31,18563531.333333332
2016-04-01,18566104.68888889
2016-04-02,18568678.044444446
2016-04-03,18571251.4
2016-04-04,18573824.755555555
2016-04-05,18576398.111111112
2016-04-06,18578971.466666665
2016-04-07,18581544.82222222
2016-04-08,18584118.17777778
2016-04-09,18586691.533333335
2016-04-10,18589264.888888888
2016-04-11,18591838.244444445
2016-04-12,18594411.6
2016-04-13,18596984.955555554
2016-04-14,18599558.31111111
2016-04-15,18602131.666666668
2016-04-16,18604705.02222222
2016-04-17,18607278.377777778
2016-04-18,18609851.733333334
2016-04-19,18612425.088888887
2016-04-20,18614998.444444444
2016-04-21,18617571.8
2016-04-22,18620145.155555554
2016-04-23,18622718.51111111
2016-04-24,18625291.866666667
2016-04-25,18627865.222222224
2016-04-26,18630438.577777777
2016-04-27,18633011.933333334
2016-04-28,18635585.28888889
2016-04-29,18638158.644444443
2016-04-30,18640732.0
2016-05-01,18642459.347826086
2016-05-02,18644186.695652176
2016-05-03,18645914.04347826
2016-05-04,18647641.391304348
2016-05-05,18649368.739130434
2016-05-06,18651096.086956523
2016-05-07,18652823.43478261
2016-05-08,18654550.782608695
2016-05-09,18656278.13043478
2016-05-10,18658005.47826087
2016-05-11,18659732.826086957
2016-05-12,18661460.173913043
2016-05-13,18663187.52173913
2016-05-14,18664914.86956522
2016-05-15,18666642.217391305
2016-05-16,18668369.56521739
2016-05-17,18670096.913043477
2016-05-18,18671824.260869566
2016-05-19,18673551.608695652
2016-05-20,18675278.95652174
2016-05-21,18677006.304347824
2016-05-22,18678733.652173914
2016-05-23,18680461.0
2016-05-24,18682188.347826086
2016-05-25,18683915.695652176
2016-05-26,18685643.04347826
2016-05-27,18687370.391304348
2016-05-28,18689097.739130434
