time,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
04-26-2018,80.042,53.022000000000006,80.042,55.641999999999996,0.148,48.434000000000005,0.5439999999999999,0.39,0.0,0.0,0.0,1013.7379999999999,1524748335.8,1524797115.6,80.042,53.022000000000006,80.042,55.641999999999996,9.4,9.48,245.8,11.27,2.572
04-27-2016,68.874,50.932,68.874,51.44000000000001,0.382,43.1,0.572,0.67,0.0009600000000000001,0.013120000000000001,0.4,1012.0020000000001,1461762630.4,1461811596.0,68.874,50.932,68.874,51.516000000000005,7.8,8.548,262.4,14.758,2.862
04-27-2017,73.64,51.426,73.64,54.69000000000001,0.34800000000000003,47.64,0.6100000000000001,0.05,0.0,5.9999999999999995e-05,0.0,1013.4619999999999,1493298647.4,1493347583.0,73.64,51.6,73.64,54.69000000000001,7.8,8.751999999999999,300.4,15.670000000000002,3.946
04-27-2018,70.384,50.89,70.43,52.902,0.332,44.486000000000004,0.568,0.43,0.00064,0.006619999999999999,0.148,1016.356,1524834664.6,1524883569.8,70.384,50.89,70.43,52.902,8.4,9.516,257.6,12.466,3.636
04-28-2016,71.678,54.024,71.678,50.932,0.42200000000000004,44.13,0.5860000000000001,0.71,0.00032,0.0052,0.21000000000000002,1011.574,1461848961.0,1461898049.8,71.678,54.024,71.678,50.932,6.8,8.434000000000001,305.6,13.034,2.5119999999999996
04-28-2017,74.13,52.013999999999996,74.13,51.426,0.092,38.836,0.454,0.09,0.0,0.0,0.0,1013.934,1493384977.8,1493434037.0,74.13,52.160000000000004,74.13,51.6,9.4,8.6,312.8,20.2,4.532
04-28-2018,67.346,50.048,67.346,50.89,0.37,45.55200000000001,0.632,0.4600000000000001,0.00112,0.00456,0.178,1015.9559999999999,1524920994.8,1524970023.8,67.346,50.528,67.346,50.89,8.2,9.452,253.0,12.512,3.176
04-29-2016,76.458,54.54,76.458,54.024,0.22599999999999998,45.306,0.528,0.74,5.9999999999999995e-05,0.00108,0.038,1013.5820000000001,1461935292.6,1461984503.8,76.458,54.54,76.458,54.024,9.2,8.664,278.8,13.974,2.182
04-29-2017,80.776,54.48199999999999,80.776,52.013999999999996,0.002,34.072,0.33599999999999997,0.12,0.0,0.0,0.0,1017.3300000000002,1493471309.2,1493520491.0,80.776,54.48199999999999,80.776,52.160000000000004,9.8,8.878,318.4,11.634,1.6760000000000002
04-29-2018,66.696,51.366,66.696,50.048,0.5399999999999999,45.053999999999995,0.6220000000000001,0.51,0.0,4e-05,0.0,1016.292,1525007325.6,1525056478.0,66.696,51.366,66.696,50.528,6.6,9.448000000000002,260.0,11.661999999999999,3.224
04-30-2016,75.33,56.748000000000005,75.33,54.54,0.254,42.666,0.488,0.78,0.0002,0.0030800000000000003,0.20800000000000002,1011.3299999999999,1462021625.4,1462070958.0,75.33,56.748000000000005,75.33,54.54,9.2,8.486,306.6,15.022000000000002,3.412
04-30-2017,84.614,57.89,84.614,54.48199999999999,0.0,39.782,0.372,0.16,0.0,0.0,0.0,1018.1479999999999,1493557641.4,1493606945.0,84.614,57.89,84.614,54.48199999999999,9.8,8.858,307.4,11.110000000000001,1.258
04-30-2018,69.256,51.366,69.256,51.209999999999994,0.52,45.278,0.616,0.53,0.0001,0.0013,0.136,1014.4639999999999,1525093658.0,1525142932.0,69.256,51.366,69.256,51.209999999999994,7.6,9.474,277.4,12.203999999999999,3.232
05-01-2016,81.188,56.158,81.188,56.748000000000005,0.184,43.782,0.454,0.8100000000000002,0.0,0.0001,0.0,1010.9979999999999,1462107959.2,1462157411.8,81.188,56.158,81.188,56.748000000000005,9.4,8.370000000000001,189.4,11.278,1.0719999999999998
05-01-2017,86.45599999999999,62.364,86.45599999999999,57.89,0.002,45.306,0.40599999999999997,0.2,0.0,0.0,0.0,1015.0260000000001,1493643975.0,1493693398.8,86.45599999999999,62.364,86.45599999999999,57.89,9.8,8.472,300.4,13.058000000000002,2.04
05-01-2018,69.99600000000001,51.898,69.99600000000001,51.366,0.522,42.702000000000005,0.5559999999999999,0.56,4e-05,0.00054,0.057999999999999996,1010.72,1525179991.2,1525229386.0,69.99600000000001,51.898,69.99600000000001,51.366,7.6,9.276,290.8,11.670000000000002,2.692
05-02-2016,83.052,57.65,83.052,56.158,0.11400000000000002,46.160000000000004,0.4699999999999999,0.85,0.0,0.0,0.0,1014.5440000000001,1462194294.2,1462243866.0,83.052,57.65,83.052,56.158,9.8,8.758000000000001,198.8,10.31,1.3439999999999999
05-02-2017,87.646,64.51400000000001,87.646,62.364,0.048,51.236000000000004,0.4600000000000001,0.24,0.0,0.0,0.0,1013.0360000000001,1493730310.2,1493779853.0,87.646,64.51400000000001,87.646,62.364,9.8,8.379999999999999,299.6,12.047999999999998,2.1479999999999997
