DateTime,CA_CustomerCount
2008-07-10,14976592.935483871
2008-07-11,14970601.483870968
2008-07-12,14964610.032258065
2008-07-13,14958618.58064516
2008-07-14,14952627.129032258
2008-07-15,14946635.677419355
2008-07-16,14940644.225806452
2008-07-17,14934652.774193548
2008-07-18,14928661.322580645
2008-07-19,14922669.870967742
2008-07-20,14916678.41935484
2008-07-21,14910686.967741935
2008-07-22,14904695.516129032
2008-07-23,14898704.064516129
2008-07-24,14892712.612903226
2008-07-25,14886721.161290323
2008-07-26,14880729.709677419
2008-07-27,14874738.258064516
2008-07-28,14868746.806451613
2008-07-29,14862755.35483871
2008-07-30,14856763.903225806
2008-07-31,14850772.451612903
2008-08-01,14844781.0
2008-08-02,14841974.741935484
2008-08-03,14839168.483870968
2008-08-04,14836362.225806452
2008-08-05,14833555.967741935
