CAPOP,Date
39262284.92876731,2016-04-12
39262806.084931694,2016-04-13
39263327.24109608,2016-04-14
39263848.397260465,2016-04-15
39264369.55342485,2016-04-16
39264890.709589235,2016-04-17
39265411.86575362,2016-04-18
39265933.021918006,2016-04-19
39266454.17808239,2016-04-20
39266975.33424678,2016-04-21
39267496.49041116,2016-04-22
39268017.64657555,2016-04-23
39268538.80273993,2016-04-24
39269059.95890432,2016-04-25
39269581.115068704,2016-04-26
39270102.27123309,2016-04-27
39270623.427397475,2016-04-28
39271144.58356186,2016-04-29
39271665.739726245,2016-04-30
39272186.89589063,2016-05-01
39272708.052055016,2016-05-02
39273229.2082194,2016-05-03
39273750.36438379,2016-05-04
39274271.52054817,2016-05-05
39274792.67671256,2016-05-06
39275313.83287694,2016-05-07
39275834.98904133,2016-05-08
39276356.145205714,2016-05-09
39276877.3013701,2016-05-10
39277398.457534485,2016-05-11
39277919.61369887,2016-05-12
39278440.769863255,2016-05-13
39278961.92602764,2016-05-14
39279483.082192026,2016-05-15
39280004.23835641,2016-05-16
39280525.3945208,2016-05-17
39281046.55068518,2016-05-18
39281567.70684957,2016-05-19
39282088.86301395,2016-05-20
39282610.01917834,2016-05-21
39283131.175342724,2016-05-22
39283652.33150711,2016-05-23
39284173.487671494,2016-05-24
39284694.64383588,2016-05-25
39285215.800000265,2016-05-26
39285736.95616465,2016-05-27
39286258.112329036,2016-05-28
39286779.26849342,2016-05-29
39287300.42465781,2016-05-30
39287821.58082219,2016-05-31
39288342.73698658,2016-06-01
39288863.89315096,2016-06-02
39289385.04931535,2016-06-03
39289906.20547973,2016-06-04
39290427.36164412,2016-06-05
39290948.517808504,2016-06-06
39291469.67397289,2016-06-07
39291990.830137275,2016-06-08
39292511.98630166,2016-06-09
39293033.142466046,2016-06-10
39293554.29863043,2016-06-11
39294075.45479482,2016-06-12
39294596.6109592,2016-06-13
39295117.76712359,2016-06-14
39295638.92328797,2016-06-15
39296160.07945236,2016-06-16
39296681.23561674,2016-06-17
39297202.39178113,2016-06-18
39297723.547945514,2016-06-19
39298244.7041099,2016-06-20
39298765.860274285,2016-06-21
39299287.01643867,2016-06-22
39299808.172603056,2016-06-23
39300329.32876744,2016-06-24
39300850.48493183,2016-06-25
39301371.64109621,2016-06-26
39301892.7972606,2016-06-27
39302413.95342498,2016-06-28
39302935.10958937,2016-06-29
39303456.26575375,2016-06-30
39303977.42191814,2016-07-01
39304498.578082524,2016-07-02
39305019.73424691,2016-07-03
39305540.890411295,2016-07-04
39306062.04657568,2016-07-05
39306583.202740066,2016-07-06
39307104.35890445,2016-07-07
39307625.51506884,2016-07-08
39308146.67123322,2016-07-09
39308667.82739761,2016-07-10
39309188.98356199,2016-07-11
39309710.13972638,2016-07-12
39310231.29589076,2016-07-13
39310752.45205515,2016-07-14
39311273.608219534,2016-07-15
39311794.76438392,2016-07-16
39312315.920548305,2016-07-17
39312837.07671269,2016-07-18
39313358.232877076,2016-07-19
39313879.38904146,2016-07-20
